COUNTRY;COUNTY;TYPE;UKNIWM_ID;CIVIL_PARISH;NOTE;UKNIWM_WEB;COMMEMORATION;LATITUDE;LONGITUDE;MAP
SCOTLAND;Fallin, Fallin School;SCHOOL;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Sauchie, Sauchie School;SCHOOL;5810;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5810;First World War (1914-1918);56.354167692917;-3.506548035881;https://www.google.com/maps/search/?api=1&query=56.354167692917,-3.506548035881&query_place_id=
SCOTLAND;Alloa, St John's Episcopal School;SCHOOL;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Laurieston, Laurieston Public School;SCHOOL;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Cowie, Stirling;INDIVIDUAL;Not listed;FALSE;Everiss memorial;NONE;UNKNOWN;56.0838192;-3.8674418;https://www.google.com/maps/search/?api=1&query=56.0838192,-3.8674418&query_place_id=
SCOTLAND;Doune, Stirling;INDIVIDUAL;5794;FALSE;Lt.Col D (SAS founder);https://www.iwm.org.uk/memorials/item/memorial/5794;First World War (1914-1918), Second World War (1939-1945);56.189394388943;-4.056383385185;https://www.google.com/maps/search/?api=1&query=56.189394388943,-4.056383385185&query_place_id=
SCOTLAND;Slamannan, Falkirk;INDIVIDUAL;Not listed;FALSE;George Ralston Peddie Waddell 1901;NONE;UNKNOWN;55.9372663;-3.8327878;https://www.google.com/maps/search/?api=1&query=55.9372663,-3.8327878&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;INDIVIDUAL;44728;FALSE;CAPT J AIDAN LIDDELL VC MC;https://www.iwm.org.uk/memorials/item/memorial/44728;First World War (1914-1918), VC or GC Recipients;56.120731062354;-3.944658779787;https://www.google.com/maps/search/?api=1&query=56.120731062354,-3.944658779787&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;INDIVIDUAL;44729;FALSE;LT COL G F C ROWN VL ;https://www.iwm.org.uk/memorials/item/memorial/44729;Non-Combat Deaths;56.120811116852;-3.944711081531;https://www.google.com/maps/search/?api=1&query=56.120811116852,-3.944711081531&query_place_id=
SCOTLAND;Stirling, Stirling Castle;Regiment & Unit;Not listed;FALSE;75th Highlanders, Indian Mutiny;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Stirling, Stirling Castle Esplanade;Regiment & Unit;5796;FALSE;Argyll and Sutherland Highlanders, Boer War;https://www.iwm.org.uk/memorials/item/memorial/5796;"Boer War; Second (1899-1902)";56.122950313566;-3.946395684209;https://www.google.com/maps/search/?api=1&query=56.122950313566,-3.946395684209&query_place_id=
SCOTLAND;Stirling, TA Centre;Regiment & Unit;44724;FALSE;Argyll and Sutherland Highlanders, 7th Bn, Great War;https://www.iwm.org.uk/memorials/item/memorial/44724;First World War (1914-1918);56.116820000000;-3.926590000000;https://www.google.com/maps/search/?api=1&query=56.116820000000,-3.926590000000&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;Regiment & Unit;44727;FALSE;Argyll and Sutherland Highlanders, 3rd Bn, Great War;https://www.iwm.org.uk/memorials/item/memorial/44727;First World War (1914-1918);56.120849818476;-3.944536075986;https://www.google.com/maps/search/?api=1&query=56.120849818476,-3.944536075986&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;Regiment & Unit;44730;FALSE;Argyll and Sutherland Highlanders, 2nd Bn;https://www.iwm.org.uk/memorials/item/memorial/44730;"Colonial India, Civilian (19th; 20th and 21st Centuries)";56.120805174977;-3.944517735855;https://www.google.com/maps/search/?api=1&query=56.120805174977,-3.944517735855&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;Regiment & Unit;44731;FALSE;Argyll and Sutherland Highlanders, 2nd Bn - Tochi Valley Campaign 1897-98;https://www.iwm.org.uk/memorials/item/memorial/44731;Colonial India;56.120866005293;-3.944649503092;https://www.google.com/maps/search/?api=1&query=56.120866005293,-3.944649503092&query_place_id=
SCOTLAND;Stirling, Church of the Holy Rude;Regiment & Unit;44732;FALSE;Argyll and Sutherland Highlanders, 3rd Bn - Boer War;https://www.iwm.org.uk/memorials/item/memorial/44732;"Boer War; Second (1899-1902)";56.120805174977;-3.944517735855;https://www.google.com/maps/search/?api=1&query=56.120805174977,-3.944517735855&query_place_id=
SCOTLAND;Bannockburn, Battlefield, Stirling;OTHER;5795;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5795;First World War (1914-1918), Second World War (1939-1945);56.091021114191;-3.912490307712;https://www.google.com/maps/search/?api=1&query=56.091021114191,-3.912490307712&query_place_id=
SCOTLAND;Callander, Callander Scouts, Stirling;OTHER;5808;FALSE;NONE;https://www.iwm.org.uk/memorials/item/memorial/5808;First World War (1914-1918);56.240188928830;-4.258232843078;https://www.google.com/maps/search/?api=1&query=56.240188928830,-4.258232843078&query_place_id=
SCOTLAND;Denny, Carrongrove Paper Co. Ltd, Carrongrove House;OTHER;Not listed;FALSE;NONE;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Camelon Cemetery, Falkirk;OTHER;Not listed;FALSE;CWGC Cross;NONE;UNKNOWN;56.0091827;-3.808415390125636;https://www.google.com/maps/search/?api=1&query=56.0091827,-3.808415390125636&query_place_id=
SCOTLAND;Grangemouth, Zetland Park;OTHER;Not listed;FALSE;131 Independant Parachute Sqdn, Royal Engineers;NONE;UNKNOWN;NONE;NONE;NONE
SCOTLAND;Grangemouth, Grandsable Cemetery;OTHER; Not Listed;FALSE;CWGC Cross;https://www.iwm.org.uk/memorials/item/memorial/ Not Listed;UNKNOWN;NONE;NONE;NONE
